,Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
0,Human,Originality,,CS_TASK2hum,0.1664,0.8336,
1,Human,Originality,,CS_TASK2hum,0.0161,0.9839,
2,Human,Originality,,CS_TASK2hum,0.0318,0.9682,
3,Human,Originality,,CS_TASK2hum,0.0238,0.9762,
4,Human,Originality,,CS_TASK2hum,0.9919,0.0080999999999999,
5,Human,Originality,,CS_TASK2hum,0.8789,0.1210999999999999,
6,Human,Originality,,CS_TASK2hum,0.9692,0.0308,
7,Human,Originality,,CS_TASK2hum,0.7792,0.2208,
8,Human,Originality,,CS_TASK2hum,0.9409,0.0591,
9,Human,Originality,,CS_TASK2hum,0.024,0.976,
10,Human,Originality,,CS_TASK2hum,0.0318,0.9682,
11,Human,Originality,,CS_TASK2hum,0.0059,0.9941,
12,Human,Originality,,CS_TASK2hum,0.0083,0.9917,
13,Human,Originality,,CS_TASK2hum,0.0214,0.9786,
14,Human,Originality,,CS_TASK2hum,0.0085,0.9915,
15,Human,Originality,,CS_TASK2hum,0.0191,0.9809,
16,Human,Originality,,CS_TASK2hum,0.0247,0.9753,
17,Human,Originality,,CS_TASK2hum,0.5921,0.4079,
18,Human,Originality,,CS_TASK2hum,0.1212,0.8788,
19,Human,Originality,,CS_TASK2hum,0.2781,0.7219,
20,Human,Originality,,CS_TASK2hum,0.0437,0.9563,
21,Human,Originality,,CS_TASK2hum,0.004,0.996,
22,Human,Originality,,CS_TASK2hum,0.0798,0.9202,
23,Human,Originality,,CS_TASK2hum,0.1287,0.8713,
24,Human,Originality,,CS_TASK2hum,0.0224,0.9776,
25,Human,Originality,,CS_TASK2hum,0.0222,0.9778,
26,Human,Originality,,CS_TASK2hum,0.3576,0.6424000000000001,
27,Human,Originality,,CS_TASK2hum,0.0031,0.9969,
28,Human,Originality,,CS_TASK2hum,0.0071,0.9929,
29,Human,Originality,,CS_TASK2hum,0.0073,0.9927,
30,Human,Originality,,CS_TASK2hum,0.0579,0.9421,
31,Human,Originality,,CS_TASK2hum,0.9295,0.0705,
32,Human,Originality,,CS_TASK2hum,0.0125,0.9875,
33,Human,Originality,,CS_TASK2hum,0.0961,0.9039,
34,Human,Originality,,CS_TASK2hum,0.1991,0.8009,
35,Human,Originality,,CS_TASK2hum,0.0203,0.9797,
36,Human,Originality,,CS_TASK2hum,0.0184,0.9816,
37,Human,Originality,,CS_TASK2hum,0.0167,0.9833,
38,Human,Originality,,CS_TASK2hum,0.0102,0.9898,
39,Human,Originality,,CS_TASK2hum,0.0497,0.9503,
40,Human,Originality,,CS_TASK2hum,0.9439,0.0561,
41,Human,Originality,,CS_TASK2hum,0.0213,0.9787,
42,Human,Originality,,CS_TASK2hum,0.0501,0.9499,
43,Human,Originality,,CS_TASK2hum,0.0254,0.9746,
44,Human,Originality,,CS_TASK2hum,0.01,0.99,
45,Human,Originality,,CS_TASK2hum,0.1257,0.8743,
46,Human,Originality,,CS_TASK2hum,0.0348,0.9652,
47,Human,Originality,,CS_TASK2hum,0.0354,0.9646,
48,Human,Originality,,CS_TASK2hum,0.0666,0.9334,
49,Human,Originality,,CS_TASK2hum,0.0106,0.9894,
50,Human,Originality,,CS_TASK2hum,0.031,0.969,
51,Human,Originality,,CS_TASK2hum,0.9895,0.0104999999999999,
52,Human,Originality,,CS_TASK2hum,0.0252,0.9748,
53,Human,Originality,,CS_TASK2hum,0.0103,0.9897,
54,Human,Originality,,CS_TASK2hum,0.9948,0.0051999999999999,
55,Human,Originality,,CS_TASK2hum,0.0077,0.9923,
56,Human,Originality,,CS_TASK2hum,0.0246,0.9754,
57,Human,Originality,,CS_TASK2hum,0.0333,0.9667,
58,Human,Originality,,CS_TASK2hum,0.0539,0.9461,
59,Human,Originality,,CS_TASK2hum,0.0695,0.9305,
60,Human,Originality,,CS_TASK2hum,0.414,0.5860000000000001,
61,Human,Originality,,CS_TASK2hum,0.0278,0.9722,
62,Human,Originality,,CS_TASK2hum,0.1866,0.8134,
63,Human,Originality,,CS_TASK2hum,0.0854,0.9146,
64,Human,Originality,,CS_TASK2hum,0.536,0.4639999999999999,
65,Human,Originality,,CS_TASK2hum,0.5756,0.4244,
66,Human,Originality,,CS_TASK2hum,0.0391,0.9609,
67,Human,Originality,,CS_TASK2hum,0.1248,0.8752,
68,Human,Originality,,CS_TASK2hum,0.0211,0.9789,
69,Human,Originality,,CS_TASK2hum,0.05,0.95,
70,Human,Originality,,CS_TASK2hum,0.0255,0.9745,
71,Human,Originality,,CS_TASK2hum,0.6416,0.3584,
72,Human,Originality,,CS_TASK2hum,0.0301,0.9699,
73,Human,Originality,,CS_TASK2hum,0.0532,0.9468,
74,Human,Originality,,CS_TASK2hum,0.9755,0.0244999999999999,
75,Human,Originality,,CS_TASK2hum,0.0256,0.9744,
76,Human,Originality,,CS_TASK2hum,0.0773,0.9227,
77,Human,Originality,,CS_TASK2hum,0.0404,0.9596,
78,Human,Originality,,CS_TASK2hum,0.4428,0.5571999999999999,
79,Human,Originality,,CS_TASK2hum,0.0214,0.9786,
80,Human,Originality,,CS_TASK2hum,0.0377,0.9623,
81,Human,Originality,,CS_TASK2hum,0.7559,0.2440999999999999,
82,Human,Originality,,CS_TASK2hum,0.1635,0.8365,
83,Human,Originality,,CS_TASK2hum,0.0242,0.9758,
84,Human,Originality,,CS_TASK2hum,0.6108,0.3892,
85,Human,Originality,,CS_TASK2hum,0.0117,0.9883,
86,Human,Originality,,CS_TASK2hum,0.0724,0.9276,
87,Human,Originality,,CS_TASK2hum,0.0656,0.9344,
88,Human,Originality,,CS_TASK2hum,0.0175,0.9825,
89,Human,Originality,,CS_TASK2hum,0.0065,0.9935,
90,Human,Originality,,CS_TASK2hum,0.0167,0.9833,
91,Human,Originality,,CS_TASK2hum,0.007,0.993,
92,Human,Originality,,CS_TASK2hum,0.026,0.974,
93,Human,Originality,,CS_TASK2hum,0.0159,0.9841,
94,Human,Originality,,CS_TASK2hum,0.0134,0.9866,
95,Human,Originality,,CS_TASK2hum,0.6597,0.3403,
96,Human,Originality,,CS_TASK2hum,0.0518,0.9482,
97,Human,Originality,,CS_TASK2hum,0.0222,0.9778,
